name,street,city,state,zip,type
ALBANY CITY SCHOOL DISTRICT,ACADEMY PARK,ALBANY,NY,12207,OTHER
MONTESSORI MAGNET SCHOOL,65 TREMONT ST,ALBANY,NY,12206,OTHER
PINE HILLS ELEMENTARY SCHOOL,41 N ALLEN ST,ALBANY,NY,12203,OTHER
DELAWARE COMMUNITY SCHOOL,43 BERTHA ST,ALBANY,NY,12209,OTHER
NEW SCOTLAND ELEMENTARY SCHOOL,369 NEW SCOTLAND AVE,ALBANY,NY,12208,OTHER
NORTH ALBANY ACADEMY,570 N PEARL ST,ALBANY,NY,12204,OTHER
ALBANY SCHOOL OF HUMANITIES,108 WHITEHALL RD,ALBANY,NY,12209,OTHER
EAGLE POINT ELEMENTARY SCHOOL,1044 WESTERN AVE,ALBANY,NY,12203,OTHER
THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,LINCOLN PARK,ALBANY,NY,12202,OTHER
GIFFEN MEMORIAL ELEMENTARY SCHOOL,274 S PEARL ST,ALBANY,NY,12202,OTHER
WILLIAM S HACKETT MIDDLE SCHOOL,45 DELAWARE AVE,ALBANY,NY,12202,OTHER
ALBANY HIGH SCHOOL,700 WASHINGTON AVE,ALBANY,NY,12203,OTHER
ARBOR HILL ELEMENTARY SCHOOL,141 WESTERN AVE,ALBANY,NY,12203,OTHER
PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,676 CLINTON AVE,ALBANY,NY,12206,OTHER
SHERIDAN PREPARATORY ACADEMY,400 SHERIDAN AVE,ALBANY,NY,12206,OTHER
STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,100 ELBEL CT,ALBANY,NY,12209,OTHER
SAINT ANNE INSTITUTE,160 N MAIN AVE,ALBANY,NY,12206,OTHER
BLESSED SACRAMENT SCHOOL,605 CENTRAL AVE,ALBANY,NY,12206,OTHER
SAINT CATHERINE OF SIENA SCHOOL,35 HURST AVE,ALBANY,NY,12208,OTHER
ALL SAINTS' CATHOLIC ACADEMY,10 ROSEMONT ST,ALBANY,NY,12203,OTHER
ACADEMY OF HOLY NAME-LOWER MIDDLE SCHOOL,1065 NEW SCOTLAND RD,ALBANY,NY,12208,OTHER
LA SALLE SCHOOL,391 WESTERN AVE,ALBANY,NY,12203,OTHER
ACADEMY OF HOLY NAMES-UPPER SCHOOL,1075 NEW SCOTLAND RD,ALBANY,NY,12208,OTHER
BISHOP MAGINN HIGH SCHOOL,99 SLINGERLAND ST,ALBANY,NY,12202,OTHER
MAIMONIDES HEBREW DAY SCHOOL,404 PARTRIDGE ST,ALBANY,NY,12208,OTHER
SAINT MATTHEW LUTHERAN SCHOOL,75 WHITEHALL RD,ALBANY,NY,12209,OTHER
NEW COVENANT CHARTER SCHOOL,50 N LARK ST,ALBANY,NY,12210,OTHER
BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,116 N LAKE AVE,ALBANY,NY,12206,OTHER
BRIGHTER CHOICE SCHOOL FOR GIRLS,250 CENTRAL AVE,ALBANY,NY,12206,OTHER
KIPP TECH VALLEY CHARTER SCHOOL,1 DUDLEY HEIGHTS,ALBANY,NY,12210,OTHER
ACHIEVEMENT ACADEMY CHARTER SCHOOL,42 S DOVE ST,ALBANY,NY,12202,OTHER
ALBANY PREPARATORY CHARTER SCHOOL,50 SUMMIT AVE,ALBANY,NY,12209,OTHER
HENRY JOHNSON CHARTER SCHOOL,30 WATERVLIET AVE,ALBANY,NY,12206,OTHER
ALBANY COMMUNITY CHARTER SCHOOL,65 KRANK ST,ALBANY,NY,12202,OTHER
GREEN TECH HIGH CHARTER SCHOOL,321 NORTHERN BLVD,ALBANY,NY,12210,OTHER
CAPITAL DISTRICT ADULT SERVICES,75 NEW SCOTLAND AVE,ALBANY,NY,12208,OTHER
THE ALBANY ACADEMIES,135 ACADEMY RD,ALBANY,NY,12208,OTHER
HELLMAN SCHOOL-PARSONS CENTER,60 ACADEMY RD,ALBANY,NY,12208,OTHER
FREE SCHOOL,8 ELM ST,ALBANY,NY,12202,OTHER
SAINT CATHERINE'S CENTER FOR CHILDREN,30 N MAIN AVE,ALBANY,NY,12203,OTHER
CENTER FOR DISABILITY SERVICES,314 S MANNING BLVD,ALBANY,NY,12208,OTHER
BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,1738 HELDERBERG TRAIL,BERNE,NY,12023,OTHER
BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,1738 HELDERBERG TRAIL,BERNE,NY,12023,OTHER
BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,1738 HELDERBERG TRAIL,BERNE,NY,12023,OTHER
HELDERBERG CHRISTIAN SCHOOL,BOX 164,WESTERLO,NY,12193,OTHER
BETHLEHEM CENTRAL SCHOOL DISTRICT,90 ADAMS PL,DELMAR,NY,12054,OTHER
CLARKSVILLE ELEMENTARY SCHOOL,PO BOX D,CLARKSVILLE,NY,12041,OTHER
ELSMERE ELEMENTARY SCHOOL,247 DELAWARE AVE,DELMAR,NY,12054,OTHER
GLENMONT ELEMENTARY SCHOOL,PO BOX 994,GLENMONT,NY,12077,OTHER
HAMAGRAEL ELEMENTARY SCHOOL,1 MC GUFFEY LN,DELMAR,NY,12054,OTHER
SLINGERLANDS ELEMENTARY SCHOOL,25 UNION AVE,DELMAR,NY,12054,OTHER
BETHLEHEM CENTRAL MIDDLE SCHOOL,332 KENWOOD AVE,DELMAR,NY,12054,OTHER
BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,700 DELAWARE AVE,DELMAR,NY,12054,OTHER
EAGLE ELEMENTARY SCHOOL,27 VAN DYKE RD,DELMAR,NY,12054,OTHER
SAINT THOMAS THE APOSTLE SCHOOL,42 ADAMS PL,DELMAR,NY,12054,OTHER
MT MORIAH ACADEMY,PO BOX 160,GLENMONT,NY,12077,OTHER
BETHLEHEM CHILDRENS SCHOOL,PO BOX 235,SLINGERLANDS,NY,12159,OTHER
RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,PO BOX 97,SELKIRK,NY,12158,OTHER
RAVENA SENIOR HIGH SCHOOL,2025 RT 9W,RAVENA,NY,12143,OTHER
ALBERTUS W BECKER SCHOOL,1146 RT 9W,SELKIRK,NY,12158,OTHER
PIETER B COEYMANS SCHOOL,66 CHURCH ST,COEYMANS,NY,12045,OTHER
RAVENA MIDDLE SCHOOL,2025 RT 9W,RAVENA,NY,12143,OTHER
COHOES CITY SCHOOL DISTRICT,7 BEVAN ST,COHOES,NY,12047,OTHER
ABRAM LANSING SCHOOL,26 JAMES ST,COHOES,NY,12047,OTHER
VAN SCHAICK ISLAND SCHOOL,150 CONTINENTAL AVE,COHOES,NY,12047,OTHER
COHOES HIGH SCHOOL,1 TIGER WAY,COHOES,NY,12047,OTHER
COHOES MIDDLE SCHOOL,7 BEVAN ST,COHOES,NY,12047,OTHER
HARMONY HILL SCHOOL,MADELON K HICKEY WAY,COHOES,NY,12047,OTHER
SOUTH COLONIE CENTRAL SCHOOL DISTRICT,102 LORALEE DR,ALBANY,NY,12205,OTHER
ROESSLEVILLE SCHOOL,100 CALIFORNIA AVE,ALBANY,NY,12205,OTHER
SADDLEWOOD ELEMENTARY SCHOOL,100 LORALEE DR,ALBANY,NY,12205,OTHER
SHAKER ROAD ELEMENTARY SCHOOL,512 ALBANY SHAKER RD,ALBANY,NY,12211,OTHER
COLONIE CENTRAL HIGH SCHOOL,1 RAIDER BLVD,ALBANY,NY,12205,OTHER
FOREST PARK ELEMENTARY SCHOOL,100 FOREST DR,ALBANY,NY,12205,OTHER
VEEDER ELEMENTARY SCHOOL,25 VEEDER DR,ALBANY,NY,12205,OTHER
SAND CREEK MIDDLE SCHOOL,329 SAND CREEK RD,ALBANY,NY,12205,OTHER
LISHA KILL MIDDLE SCHOOL,68 WATERMAN AVE,ALBANY,NY,12205,OTHER
CHRISTIAN BROTHERS ACADEMY,12 AIRLINE DR,ALBANY,NY,12205,OTHER
HEBREW ACADEMY OF THE CAPITAL DISTRICT,54 SAND CREEK RD,ALBANY,NY,12205,OTHER
OUR SAVIOR'S LUTHERAN SCHOOL,63 MOUNTAIN VIEW AVE,ALBANY,NY,12205,OTHER
AN NUR ISLAMIC SCHOOL,2195 CENTRAL AVE,SCHENECTADY,NY,12304,OTHER
MENANDS UNION FREE SCHOOL DISTRICT,19 WARDS LN,MENANDS,NY,12204,OTHER
MENANDS SCHOOL,19 WARDS LN,MENANDS,NY,12204,OTHER
NORTH COLONIE CSD,91 FIDDLERS LN,LATHAM,NY,12110,OTHER
MAPLEWOOD SCHOOL,32 COHOES RD,WATERVLIET,NY,12189,OTHER
BLUE CREEK SCHOOL,100 CLINTON RD,LATHAM,NY,12110,OTHER
BOGHT HILLS SCHOOL,38 DUNSBACH FERRY RD,COHOES,NY,12047,OTHER
FORTS FERRY SCHOOL,95 FORTS FERRY RD,LATHAM,NY,12110,OTHER
LATHAM RIDGE SCHOOL,6 MERCER AVE,LATHAM,NY,12110,OTHER
LOUDONVILLE SCHOOL,349 OSBORNE RD,LOUDONVILLE,NY,12211,OTHER
SOUTHGATE SCHOOL,30 SOUTHGATE RD,LOUDONVILLE,NY,12211,OTHER
SHAKER JUNIOR HIGH SCHOOL,475 WATERVLIET-SHAKER RD,LATHAM,NY,12110,OTHER
SHAKER HIGH SCHOOL,445 WATERVLIET-SHAKER RD,LATHAM,NY,12110,OTHER
