id	version	postal_code	street	state	last_updated	date_created	country	city
1	0	06880	(null)	CT	2010-04-29 11:29:09	2010-04-29 11:29:09	USA	Westport
2	0	10533	(null)	NY	2010-04-29 11:29:22	2010-04-29 11:29:22	USA	Irvington
3	0	10533	(null)	NY	2010-04-29 11:29:23	2010-04-29 11:29:23	USA	Irvington
4	0	10510	(null)	NY	2010-04-29 11:29:23	2010-04-29 11:29:23	USA	Briarcliff Manor
5	0	10510	(null)	NY	2010-04-29 11:29:24	2010-04-29 11:29:24	USA	Briarcliff Manor
6	0	10510	(null)	CT	2010-04-29 11:29:24	2010-04-29 11:29:24	USA	Wesport
7	0	10510	(null)	CT	2010-04-29 11:29:24	2010-04-29 11:29:24	USA	Wesport
8	0	12207	ACADEMY PARK	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
9	0	12206	65 TREMONT ST	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
10	0	12203	41 N ALLEN ST	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
11	0	12209	43 BERTHA ST	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
12	0	12208	369 NEW SCOTLAND AVE	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
13	0	12204	570 N PEARL ST	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
14	0	12209	108 WHITEHALL RD	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
15	0	12203	1044 WESTERN AVE	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
16	0	12202	LINCOLN PARK	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
17	0	12202	274 S PEARL ST	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
18	0	12202	45 DELAWARE AVE	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
19	0	12203	700 WASHINGTON AVE	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
20	0	12203	141 WESTERN AVE	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
21	0	12206	676 CLINTON AVE	NY	2010-04-29 11:40:40	2010-04-29 11:40:40	USA	ALBANY
